Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Loach Kuhli Black,Peaceful,"4""",10 Gallon,Solid uniform chocolate-black eel-like smooth body,Herbivore. Hikari Frozen Food,"Black Kuhli Loach; same peaceful, plant-safe temperament. Keep in groups of 3 or more; prefers soft substrate.",76-82°F,6.5-7.4,3-8 dKH,Southeast Asia,Safe,Pangio oblonga,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Kuhli Black.html,LO10
Loach Slender,Peaceful,"4""",10 Gallon,Thin olive-tan body with a line of fine black dashes down flank,Herbivore. Hikari Frozen Food,Peaceful loach; plant-safe community fish.,75-86°F,6.5-7.5,4-12 dKH,Asia,Safe,Leptobotia / Nemacheilus sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Slender.html,LO12
Loach Yoyo,Peaceful,"5""",29 Gallon,Silver body marked with dark lines forming distinct Y and O patterns,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Peaceful, active loach. Keep in groups of 3 or more. Plant-safe.",75-86°F,6.5-7.5,4-12 dKH,India,Safe,Botia almorhae,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Yoyo.html,LO13
Loach Zebra,Peaceful,"4""",29 Gallon,"Fine, clean vertical yellow and black maze stripes","Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful schooling loach. Plant-safe and community-friendly. Keep in groups of 5 or more.,77-82°F,6.8-7.6,4-10 dKH,India,Safe,Botia striata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Zebra.html,LO14
Marble Hatchet,Peaceful,"1.5""",10 Gallon,Deep belly silver body covered in dark brown wood-grain marble curls,"Omnivore. Hikari Frozen Food, Sera San Color Flakes","Peaceful, surface-dwelling schooling fish. Plant-safe; needs a tight-fitting lid as it is a jumper. Keep in groups of 6 or more.",77-82°F,6.8-7.4,2-8 dKH,South America (Amazon Basin),Safe,Carnegiella strigata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Marble Hatchet.html,MS16
Molly,Peaceful,"4.5""",10 Gallon,"Assorted solid black, orange, dalmatian, or lyretail forms","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Hardy, peaceful livebearer. Community-friendly. Plant-safe; may graze algae off plant leaves.",77-82°F,7.0-8.2,10-25 dKH,Central/North America,Safe,Poecilia sphenops / latipinna,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Molly.html,LB10
Panda Garra,Peaceful,"3.5""",30 Gallon,Dark olive body with alternating yellow/black fin rings and yellow bands,"Carnivore. Sera Pleco Chips, Hikari Algae Wafers",Peaceful algae grazer; excellent for planted tanks. Cleans algae from leaves without harming plants.,78-82°F,6.5-7.5,4-12 dKH,South America (Colombia/Venezuela),Safe,Ctenolucius hujeta,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Panda Garra.html,MI09
Platinum Hatchet,Peaceful,"2.5""",20 Gallon,Solid iridescent high-gloss liquid mirror silver,"Omnivore. Hikari Frozen Food, Sera San Color Flakes","Peaceful, surface-dwelling schooling fish. Plant-safe; keep with a tight lid. Keep in groups of 6 or more.",77-82°F,6.8-7.4,2-8 dKH,South America (Amazon Basin),Safe,Gasteropelecus sternicla,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Platinum Hatchet.html,MS17
Platy,Peaceful,"2.5""",10 Gallon,"Assorted compact forms (red, blue, sunburst, wagtail)","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Hardy, peaceful livebearer. Excellent community fish. Plant-safe.",77-82°F,7.0-8.2,10-20 dKH,Central America (Mexico to Belize),Safe,Xiphophorus maculatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Platy.html,LB12
Pleco Ancitrus,Peaceful,"5""",10 Gallon,Dark brown body covered in fine tan spots; bushy nose tentacles,"Sera Pleco Chips, Hikari Algae Wafers",Bristlenose-type pleco; peaceful algae eater. Plant-safe; great for planted tanks. Stays small (4 or 5 inches).,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Ancitrus.html,PL18
Pleco Ancitrus Albino,Peaceful,"5""",10 Gallon,Solid pinkish-yellow body with white tentacles and pink eyes,"Sera Pleco Chips, Hikari Algae Wafers","Albino Ancistrus; same peaceful, plant-safe behavior. Great algae eater. Stays small (4 or 5 inches).",76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Ancitrus Albino.html,PL19
Pleco Ancitrus Albino Longfin,Peaceful,"5""",10 Gallon,"Solid pinkish-yellow with elongated, flowing lace fins","Sera Pleco Chips, Hikari Algae Wafers",Longfin albino Ancistrus; same peaceful temperament. Plant-safe and great algae eater. Stays small (4 or 5 inches).,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Ancitrus Albino Longfin.html,PL20
Pleco Bristlenose,Peaceful,"5""",10 Gallon,Dark charcoal body with uniform golden-tan freckles,"Sera Pleco Chips, Hikari Algae Wafers","Very popular, peaceful, small pleco (4 or 5 inches). Excellent algae eater; plant-safe.",76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Bristlenose.html,PL21
Pleco Bristlenose Longfin Pineapple,Peaceful,"5""",10 Gallon,High-contrast honey-yellow and orange mottled patterns; sweeping fins,"Sera Pleco Chips, Hikari Algae Wafers",Longfin Pineapple Bristlenose; same peaceful temperament. Plant-safe and excellent algae eater. Stays small.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Bristlenose Longfin Pineapple.html,PL22
Pleco Bushynose Longfin,Peaceful,"5""",10 Gallon,Mottled brown/tan with heavily extended fin trains,"Sera Pleco Chips, Hikari Algae Wafers",Longfin Bushynose pleco; peaceful and plant-safe. Good algae eater. Stays small.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Bushynose Longfin.html,PL24
Pleco Bushynose Longfin Super Red,Peaceful,"5""",10 Gallon,Solid rich brick-orange overall with flowing lace fin trains,"Sera Pleco Chips, Hikari Algae Wafers",Super Red Longfin Bushynose; same peaceful temperament. Plant-safe and great algae eater.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Bushynose Longfin Super Red.html,PL25
Pleco Bushynose Red,Peaceful,"5""",10 Gallon,Solid un-spotted uniform rich pumpkin-orange body,"Sera Pleco Chips, Hikari Algae Wafers",Red Bushynose pleco; peaceful and plant-safe algae eater. Stays small (4 or 5 inches).,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Bushynose Red.html,PL23
Pleco Butterfly,Peaceful,"5""",10 Gallon,Flat profile with wide rounded yellow-spotted pectoral plates,"Sera Pleco Chips, Hikari Algae Wafers",Hillstream loach-like pleco; peaceful algae grazer. Plant-safe. Needs good water flow and oxygenation.,76-84°F,7.0-7.6,4-12 dKH,South America (Rio Negro),Safe,Dekeyseria brachyura (L052),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Butterfly.html,PL26
Pleco Clown,Peaceful,"3.5""",10 Gallon,Dark chocolate body highlighted by distinct thin tan ring bands,"Sera Pleco Chips, Hikari Algae Wafers","Peaceful, patterned pleco. Plant-safe; grazes algae. Grows to 12 inches or more; needs a large tank.",76-84°F,7.0-7.6,4-12 dKH,South America (Venezuela),Safe,Panaqolus maccus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Clown.html,PL27
Pleco L018 Gold Spot (Large),Peaceful,"10""",55 Gallon,Black body covered in sharp yellow spots; solid yellow fin borders,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful L-number pleco; plant-safe algae and biofilm grazer. Grows to 10 inches or more.,76-84°F,7.0-7.6,3-8 dKH,Brazil (Rio Xingu),Safe,Baryancistrus xanthellus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L018 Gold Spot (Large).html,PL03
Pleco L018 Gold Spot (Small),Peaceful,"4""",20 Gallon,Black body covered in sharp yellow spots; solid yellow fin borders,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful L-number pleco; plant-safe algae and biofilm grazer. Grows to 10 inches or more.,76-84°F,7.0-7.6,3-8 dKH,Brazil (Rio Xingu),Safe,Baryancistrus xanthellus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L018 Gold Spot (Small).html,PL02
Pleco L052 Atabapo Butterfly,Peaceful,"5""",10 Gallon,Flattened dark grey body with light grey butterfly wing patterns,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful L-number pleco; plant-safe. Stays relatively small.,76-84°F,7.0-7.6,4-12 dKH,South America (Rio Negro),Safe,Dekeyseria brachyura (L052),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L052 Atabapo Butterfly.html,PL04
Pleco L066 King Tiger,Peaceful,"5""",10 Gallon,Intricate white and black fine labyrinth scroll lines,"Sera Pleco Chips, Hikari Algae Wafers","Peaceful, attractive L-number pleco. Plant-safe. Grows to 6 inches or more.",76-84°F,7.0-7.6,4-12 dKH,Brazil (Rio Xingu),Safe,Hypancistrus sp. (L066),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L066 King Tiger.html,PL05
Pleco L091 Red Fin,Peaceful,"10""",10 Gallon,Charcoal black body; striking bright orange-red dorsal and tail tips,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful L-number pleco; plant-safe. Grows to 8 inches or more.,76-84°F,7.0-7.6,4-12 dKH,South America,Safe,Loricariidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L091 Red Fin.html,PL06
Pleco L128 Blue Phantom,Peaceful,"7""",10 Gallon,Deep midnight blue-grey body peppered with small white dots,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful Blue Phantom pleco. Plant-safe algae grazer. Grows to 7 Inches or more.,76-84°F,7.0-7.6,4-12 dKH,Venezuela (Rio Orinoco),Safe,Hemiancistrus subviridis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L128 Blue Phantom.html,PL07
Pleco L129,Peaceful,"3.5""",10 Gallon,Dark body with crisp yellow wavy maze line segments,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful L-number pleco. Plant-safe. Stays relatively small.,76-84°F,7.0-7.6,4-12 dKH,South America,Safe,Loricariidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L129.html,B879642
Pleco L177 Gold Nugget,Peaceful,"8""",10 Gallon,"Black body with large, prominent bright yellow polka dots and wide fin trim","Sera Pleco Chips, Hikari Algae Wafers",Gold Nugget pleco; peaceful and plant-safe. Grows to 9 Inches or more.,76-84°F,7.0-7.6,3-8 dKH,Brazil (Rio Xingu),Safe,Baryancistrus xanthellus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L177 Gold Nugget.html,PL09
Pleco L190 Royal (Large),Peaceful,"17""",100 Gallon,"Light grey body with bold, dark horizontal pencil pinstripes; red eyes","Sera Pleco Chips, Hikari Algae Wafers",Royal pleco; peaceful but large (17 Inches or more). May rasp driftwood more than plants. Plant-safe. Needs 75 or more gallon tank.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon/Orinoco),Safe,Panaque nigrolineatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L190 Royal (Large).html,PL11
Pleco L190 Royal (Small),Peaceful,"4""",20 Gallon,"Light grey body with bold, dark horizontal pencil pinstripes; red eyes","Sera Pleco Chips, Hikari Algae Wafers",Royal pleco; peaceful but large (17 Inches or more). May rasp driftwood more than plants. Plant-safe. Needs 75 or more gallon tank.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon/Orinoco),Safe,Panaque nigrolineatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L190 Royal (Small).html,PL10
Pleco L200 Green Phantom (Large),Peaceful,"7""",55 Gallon,Translucent lemon-lime green body with pale yellow body spots,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful Green Phantom pleco; plant-safe. Grows to 7 Inches or more.,76-84°F,7.0-7.6,4-12 dKH,Venezuela,Safe,Hemiancistrus subviridis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L200 Green Phantom (Large).html,PL13
Pleco L200 Green Phantom (Small),Peaceful,"3""",10 Gallon,Translucent lemon-lime green body with pale yellow body spots,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful Green Phantom pleco; plant-safe. Grows to 7 Inches or more.,76-84°F,7.0-7.6,4-12 dKH,Venezuela,Safe,Hemiancistrus subviridis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L200 Green Phantom (Small).html,PL12
Pleco L201 Snowball,Peaceful,"5""",10 Gallon,"Jet black body covered in large, crisp white snowball spots","Sera Pleco Chips, Hikari Algae Wafers",Peaceful Snowball pleco; plant-safe. Grows to 6 inches or more.,76-84°F,7.0-7.6,4-12 dKH,Venezuela (Rio Orinoco),Safe,Hypancistrus controversus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L201 Snowball.html,PL14
Pleco L260 Queen Arabesque,Peaceful,"4""",10 Gallon,"Fine, hyper-dense network of black and white network lines","Sera Pleco Chips, Hikari Algae Wafers","Peaceful, attractive L-number pleco. Plant-safe. Stays small (4 Inches or more).",76-84°F,7.0-7.6,4-12 dKH,South America,Safe,Loricariidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L260 Queen Arabesque.html,PL15
Pleco L264,Peaceful,"8""",10 Gallon,Grey body covered in black dots; stark white tips on all fins,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful L-number pleco. Plant-safe. Stays relatively small.,76-84°F,7.0-7.6,4-12 dKH,South America,Safe,Loricariidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco L264.html,PL16
Pleco LDA033 Snowball,Peaceful,"5""",10 Gallon,"Jet black body covered in large, crisp white snowball spots","Sera Pleco Chips, Hikari Algae Wafers",Peaceful LDA-series pleco. Plant-safe. Stays small.,76-84°F,7.0-7.6,4-12 dKH,Venezuela (Rio Orinoco),Safe,Hypancistrus controversus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco LDA033 Snowball.html,PL17
Pleco LO18,Semi-aggressive; territorial with own species,"7-10""",55 Gallon,Black body with gold/yellow spots,"Sera Pleco Chips, Hikari Algae Wafers",Needs strong current and high oxygenation; provide driftwood; grows fairly large,77-84°F,6.0-7.5,2-10 dKH,Brazil (Rio Xingu),Safe,"Baryancistrus xanthellus ""L018""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco LO18.html,4482986
Pleco Longfin Red Bushynose,Peaceful,"4-5""",29 Gallon,Red/orange with long flowing fins,"Sera Pleco Chips, Hikari Algae Wafers",Easy algae eater; needs driftwood as part of its diet; breeds readily in caves,74-80°F,6.5-7.5,2-15 dKH,Captive-bred (native range South America),Safe,Ancistrus sp. (longfin red morph),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Longfin Red Bushynose.html,8630242
Pleco Royal,Peaceful,"17""",10 Gallon,"Light grey body with bold, dark horizontal pencil pinstripes; red eyes","Sera Pleco Chips, Hikari Algae Wafers","Royal pleco (L190); peaceful, wood-grazing pleco growing to 17 Inches or more. Plant-safe. Needs 75 or more gallon tank.",76-84°F,7.0-7.6,4-12 dKH,South America (Amazon/Orinoco),Safe,Panaque nigrolineatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Royal.html,PL28
Pleco Rubber Lip,Peaceful,"5""",10 Gallon,Dull slate grey/olive body with faint uniform dark checking,"Sera Pleco Chips, Hikari Algae Wafers","Peaceful, small algae-eating pleco. Plant-safe. Stays under 7 Inches.",76-84°F,7.0-7.6,4-12 dKH,South America (Colombia),Safe,Chaetostoma milesi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Rubber Lip.html,PL29
Pleco Sailfin Marble,Peaceful,"19""",10 Gallon,Marbled dark brown and gold body with a massive sail-like dorsal fin,"Sera Pleco Chips, Hikari Algae Wafers",Sailfin pleco grows very large (18 inches or more). Peaceful but large size may damage plants physically; use robust species. Needs 125 or more gallon tank.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Caution,Pterygoplichthys gibbiceps,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Sailfin Marble.html,PL30
Pleco Sailfin Spotted,Peaceful,"19""",10 Gallon,Dark leopard spots over tan body; giant high-profile sail fin,"Sera Pleco Chips, Hikari Algae Wafers",Spotted Sailfin pleco grows very large (18 inches or more). Peaceful but large size may damage plants; use robust species. Needs 125 or more gallon tank.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Caution,Pterygoplichthys gibbiceps,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Sailfin Spotted.html,PL31
Pleco Snow White,Peaceful,"5""",10 Gallon,Uncommon solid ivory-white bristlenose morph with dark eyes,"Sera Pleco Chips, Hikari Algae Wafers",Peaceful pleco variant. Plant-safe. Stays relatively small.,76-84°F,7.0-7.6,4-12 dKH,South America (Amazon Basin),Safe,Ancistrus cirrhosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Pleco Snow White.html,PL32
Rainbow Boseman,"Peaceful, active schooling","4-4.5""",29 Gallon,"Blue-purple front half, orange-yellow rear half","Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Keep in schools of 6+; males show best color with maturity; needs open swimming space,75-82°F,7.0-8.0,8-15 dKH,"West Papua, Indonesia (Ajamaru Lakes)",Safe,Melanotaenia boesemani,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Boseman.html,CI42
Rainbow Celebes,Peaceful,"3""",10 Gallon,Silver-yellow with elongated dorsal/anal fin rays,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Prefers harder water than most rainbowfish; sensitive to poor water quality; peaceful schooler,75-82°F,7.0-8.5,8-20 dKH,"Sulawesi, Indonesia",Safe,Marosatherina ladigesi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Celebes.html,CI43
Rainbow Dwarf Praycox,"Peaceful, active schooling","2-2.5""",29 Gallon,Vivid neon blue-red,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Smallest commonly kept rainbowfish; great for smaller schooling displays; males color up strongly,75-82°F,6.5-7.5,5-12 dKH,New Guinea (Mamberamo/Idenburg River),Safe,Melanotaenia praecox,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Dwarf Praycox.html,CI44
Rainbow Emerald,"Peaceful, active schooling","4-4.5""",29 Gallon,Bright emerald green,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites","Keep in schools of 6+; males more vibrant; needs open swimming space, hardy once established",75-82°F,7.0-8.0,8-15 dKH,"Lake Wanam, Papua New Guinea",Safe,Glossolepis wanamensis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Emerald.html,CI45
Rainbow Millenium (Female),"Peaceful, active schooling","4-5""",29 Gallon,Silvery-yellow,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Keep in schools of 6+; active swimmer needing open space,75-82°F,7.0-8.0,8-15 dKH,New Guinea (Mamberamo River),Safe,Glossolepis pseudoincisus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Millenium (Female).html,1336752
Rainbow Millenium (Male),"Peaceful, active schooling","4-5""",29 Gallon,"Deep blue-purple, intensifying with maturity","Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Keep in schools of 6+; males color up strongly as they mature; needs open swimming space,75-82°F,7.0-8.0,8-15 dKH,New Guinea (Mamberamo River),Safe,Glossolepis pseudoincisus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Millenium (Male).html,7816728
Rainbow Red,Peaceful,"6""",29 Gallon,Brilliant deep solid crimson red body (males),"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Peaceful rainbowfish. Plant-safe; excellent in planted tanks. Keep in groups of 6 or more.,77-85°F,7.0-8.0,6-15 dKH,Australia / New Guinea,Safe,Glossolepis incisus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Red.html,CI46
Rainbow Turquoise,Peaceful,"4.5""",29 Gallon,Deep metallic turquoise-blue top shading down to silver,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites",Peaceful rainbowfish; plant-safe and good community fish. Keep in groups of 6 or more.,77-85°F,7.0-8.0,6-15 dKH,Australia / New Guinea,Safe,Melanotaenia lacustris,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rainbow Turquoise.html,CI47
Ram Balloon Black,Semi-aggressive,"2""",10 Gallon,Short round coin body; dark smoky charcoal matte black color,Omnivore. Sera San Color Flakes,Balloon-body German Blue Ram variant; same dwarf cichlid temperament — mild but territorial during breeding. Excellent in planted tanks.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Balloon Black.html,RA01
Ram Balloon Blue,Semi-aggressive,"2""",10 Gallon,Short compressed body; iridescent sky blue scales,Omnivore. Sera San Color Flakes,"Balloon Blue Ram — mild dwarf cichlid temperament. Territorial during breeding; excellent in planted tanks with soft, acidic water.",78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Balloon Blue.html,RA02
Ram Balloon Electric Blue,Semi-aggressive,"2""",10 Gallon,Short coin body; ultra-vibrant metallic solid electric blue,Omnivore. Sera San Color Flakes,Electric Blue Balloon Ram variant; same mild dwarf cichlid temperament. Planted tanks ideal. Sensitive to water quality.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Balloon Electric Blue.html,RA03
Ram Balloon Gold,Semi-aggressive,"2""",10 Gallon,Short round body; solid lemon yellow with pink belly accents,Omnivore. Sera San Color Flakes,Gold Balloon Ram; same mild dwarf cichlid temperament as other balloon rams. Planted tanks beneficial.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Balloon Gold.html,RA04
Ram Black Knight,Semi-aggressive,"2.5""",10 Gallon,Solid high-grade matte midnight black throughout body and fins,Omnivore. Sera San Color Flakes,Black Knight Ram variant; same dwarf cichlid care. Planted tanks beneficial. Territorial during breeding.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Black Knight.html,RA05
Ram Blue,Semi-aggressive,"2.5""",10 Gallon,Yellow-green front shifting to neon blue iridescent spots on rear,Omnivore. Sera San Color Flakes,Blue Ram (German Blue Ram variant); mild-mannered dwarf cichlid. Excellent in planted tanks. Sensitive to water quality.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Blue.html,RA06
Ram Bolivian,Peaceful,"3""",10 Gallon,"Pastel olive-grey with yellow chest, black chest spot, and pink fin trim",Omnivore. Sera San Color Flakes,Slightly more peaceful than German Blue Ram. Great for planted community tanks. Plant-safe. Hardier than German Blue Ram.,74-82°F,6.5-7.5,3-10 dKH,South America (Bolivia/Brazil),Safe,Mikrogeophagus altispinosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Bolivian.html,RA07
Ram Electric Blue,Semi-aggressive,"2.5""",10 Gallon,"Intense, solid uniform glowing metallic electric neon blue",Omnivore. Sera San Color Flakes,"Electric Blue Ram; beautiful but sensitive to water quality. Mild cichlid temperament. Excellent in planted tanks with soft, warm water.",78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Electric Blue.html,RA09
Ram German Blue,Semi-aggressive,"2.5""",10 Gallon,Classic yellow-green front with glowing violet-blue rear highlights,Omnivore. Sera San Color Flakes,"Classic German Blue Ram; mild-mannered dwarf cichlid. Thrives in planted tanks with soft, acidic water. Sensitive to water quality.",78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram German Blue.html,RA10
Ram German Gold,Semi-aggressive,"2.5""",10 Gallon,Solid golden-yellow flanks with iridescent pink/blue fin sheen,Omnivore. Sera San Color Flakes,Gold variant of German Blue Ram; same mild care and temperament. Planted tanks ideal. Sensitive to water quality.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram German Gold.html,RA11
Ram Gold,Semi-aggressive,"2.5""",10 Gallon,Bright canary yellow with clean pastel highlights,Omnivore. Sera San Color Flakes,Gold Ram; same mild dwarf cichlid temperament. Plant-safe and excellent in planted community tanks.,78-85°F,5.5-6.8,1-4 dKH,South America (Venezuela/Colombia),Safe,Mikrogeophagus ramirezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ram Gold.html,RA12
Rasbora Harlequin,Peaceful,"2""",10 Gallon,Copper-pink body with a sharp black lambchop triangle on the tail,Omnivore. Sera San Color Flakes,Classic peaceful schooling fish. Perfect for planted community tanks. Plant-safe. Keep in groups of 6 or more.,76-84°F,6.8-7.6,3-8 dKH,Southeast Asia,Safe,Trigonostigma heteromorpha,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rasbora Harlequin.html,RS01
Rasbora Heteromorpha,Peaceful,"2""",10 Gallon,Classic copper pink body with characteristic dark tail triangle,Omnivore. Sera San Color Flakes,Same species as Harlequin Rasbora; peaceful and plant-safe. Keep in groups of 6 or more.,76-84°F,6.8-7.6,3-8 dKH,Southeast Asia,Safe,Trigonostigma heteromorpha,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rasbora Heteromorpha.html,RS03
